,Oil,Banks,Txtls,Toys,Rtail
Oil,1.0,0.5478755202578477,0.515374524816056,0.3810905424628936,0.5754396424066515
Banks,0.5478755202578477,1.0,0.5780088878514205,0.4030487978987624,0.643532085344496
Txtls,0.515374524816056,0.5780088878514205,1.0,0.44027715569866965,0.6103398001528131
Toys,0.3810905424628936,0.4030487978987624,0.44027715569866965,1.0,0.4899818503377608
Rtail,0.5754396424066515,0.643532085344496,0.6103398001528131,0.4899818503377608,1.0
