Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
1963-1977,Banks,Oct,0.0098,0.1015,0.0917,1.749,0.0803
1963-1977,Txtls,Oct,0.026,0.0577,0.0316,0.6953,0.4869
1963-1977,Toys,Oct,0.0204,-0.0114,-0.0318,-0.342,0.7324
1963-1977,Rtail,Oct,0.0243,0.0503,0.0261,0.4975,0.6188
1963-1977,Oil,Nov,0.0364,0.0207,-0.0157,-0.2858,0.775
1963-1977,Banks,Nov,0.023,-0.0388,-0.0618,-1.1306,0.2582
1963-1977,Txtls,Nov,0.0335,-0.0238,-0.0573,-1.001,0.3168
1963-1977,Toys,Nov,0.0189,0.0029,-0.016,-0.1745,0.8615
1963-1977,Rtail,Nov,0.0262,0.0311,0.0049,0.0881,0.9298
1963-1977,Oil,Dec,0.0292,0.098,0.0688,1.5118,0.1306
1963-1977,Banks,Dec,0.0129,0.0721,0.0593,1.1339,0.2568
1963-1977,Txtls,Dec,0.0253,0.0661,0.0408,0.8242,0.4098
1963-1977,Toys,Dec,0.0241,-0.0511,-0.0752,-0.9022,0.3669
1963-1977,Rtail,Dec,0.0292,-0.0009,-0.0301,-0.6438,0.5197
1978-2002,Oil,Jan,0.0594,0.0288,-0.0306,-0.5041,0.6142
1978-2002,Banks,Jan,0.0611,0.1148,0.0537,1.0103,0.3123
1978-2002,Txtls,Jan,0.0446,0.1068,0.0622,1.3553,0.1753
1978-2002,Toys,Jan,0.045,0.1261,0.0811,1.211,0.2259
1978-2002,Rtail,Jan,0.0621,0.0761,0.0139,0.2544,0.7992
1978-2002,Oil,Feb,0.0569,0.0568,-0.0,-0.0005,0.9996
1978-2002,Banks,Feb,0.0661,0.059,-0.0071,-0.1428,0.8864
1978-2002,Txtls,Feb,0.0427,0.1361,0.0934,2.0322,0.0421
1978-2002,Toys,Feb,0.0452,0.1311,0.0859,1.2912,0.1966
1978-2002,Rtail,Feb,0.0594,0.1104,0.0509,0.9273,0.3538
1978-2002,Oil,Mar,0.0504,0.1254,0.075,1.2808,0.2003
1978-2002,Banks,Mar,0.0633,0.0898,0.0265,0.5071,0.6121
1978-2002,Txtls,Mar,0.0479,0.0699,0.022,0.4981,0.6184
1978-2002,Toys,Mar,0.0473,0.0981,0.0507,0.8867,0.3753
1978-2002,Rtail,Mar,0.0539,0.1625,0.1086,2.1452,0.0319
1978-2002,Oil,Apr,0.0476,0.1605,0.1129,1.9665,0.0492
1978-2002,Banks,Apr,0.0606,0.1214,0.0608,1.13,0.2585
1978-2002,Txtls,Apr,0.0408,0.1515,0.1107,2.3116,0.0208
1978-2002,Toys,Apr,0.0448,0.1294,0.0846,1.3003,0.1935
1978-2002,Rtail,Apr,0.0637,0.0583,-0.0055,-0.0983,0.9217
1978-2002,Oil,May,0.0556,0.0703,0.0146,0.3005,0.7638
1978-2002,Banks,May,0.0618,0.1062,0.0444,0.9829,0.3256
1978-2002,Txtls,May,0.0472,0.0786,0.0315,0.7661,0.4436
1978-2002,Toys,May,0.044,0.1358,0.0917,1.6633,0.0963
1978-2002,Rtail,May,0.0582,0.1191,0.0609,1.3162,0.1881
1978-2002,Oil,Jun,0.0645,-0.0257,-0.0902,-1.8666,0.062
1978-2002,Banks,Jun,0.0669,0.0513,-0.0156,-0.3322,0.7397
1978-2002,Txtls,Jun,0.0567,-0.0244,-0.0811,-1.9763,0.0481
1978-2002,Toys,Jun,0.0552,0.0147,-0.0405,-0.6903,0.49
1978-2002,Rtail,Jun,0.0615,0.0823,0.0208,0.4611,0.6447
1978-2002,Oil,Jul,0.0605,0.0165,-0.044,-0.7963,0.4259
1978-2002,Banks,Jul,0.0681,0.0374,-0.0307,-0.6356,0.5251
1978-2002,Txtls,Jul,0.0536,0.0086,-0.045,-0.8504,0.3951
1978-2002,Toys,Jul,0.06,-0.0385,-0.0985,-1.5185,0.1289
1978-2002,Rtail,Jul,0.0673,0.0198,-0.0475,-0.9113,0.3621
1978-2002,Oil,Aug,0.0503,0.125,0.0747,1.425,0.1542
1978-2002,Banks,Aug,0.0693,0.0263,-0.043,-0.8378,0.4021
1978-2002,Txtls,Aug,0.0553,-0.0075,-0.0629,-1.3001,0.1936
1978-2002,Toys,Aug,0.0515,0.054,0.0025,0.0391,0.9688
1978-2002,Rtail,Aug,0.0695,-0.0013,-0.0708,-1.2407,0.2147
1978-2002,Oil,Sep,0.0607,0.0125,-0.0482,-0.8093,0.4183
1978-2002,Banks,Sep,0.0733,-0.0235,-0.0967,-1.6756,0.0938
1978-2002,Txtls,Sep,0.0652,-0.128,-0.1933,-3.0035,0.0027
1978-2002,Toys,Sep,0.0637,-0.0857,-0.1493,-2.0834,0.0372
