,Oil,Banks,Txtls,Toys,Rtail
Oil,1.0,0.5497245890320991,0.46209457892934713,0.4229400040769958,0.47457147864504834
Banks,0.5497245890320991,1.0,0.6223532419285306,0.5322172083890536,0.6615292166737453
Txtls,0.46209457892934713,0.6223532419285306,1.0,0.5348998554410122,0.5767229115243115
Toys,0.4229400040769958,0.5322172083890536,0.5348998554410122,1.0,0.6257254903638414
Rtail,0.47457147864504834,0.6615292166737453,0.5767229115243115,0.6257254903638414,1.0
