Portfolio,Alpha (%/month),Alpha p-value,Beta Mkt-RF,Beta SMB,Beta HML,Beta RMW,Beta CMA,R²,Adj R²
Oil,-0.1692845937009243,0.31883978135257596,0.9738968763955183,-0.027310768619837306,0.38372921522469045,0.21791556801114972,0.36163018783756873,0.4562338288839143,0.45260872107647376
Banks,-0.2422529110515729,0.03641511016049646,1.153575389110513,-0.08051192358195963,0.8460107377029626,0.03928914380790791,-0.3616412905125337,0.7451261077729299,0.7434269484914161
Txtls,-0.6156743057383542,0.00043128484808572576,1.1587364041707455,0.8386225779117361,0.5906981700681885,0.573956492319612,0.08164813249867332,0.6326192847515946,0.6301700799832719
Toys,-0.5346600841238454,0.0024286302631887813,1.119270594091675,0.7081121179862832,0.006893934444878652,0.5562692896294016,0.06841753469086174,0.596936867475935,0.5942497799257747
Rtail,0.058505157287413595,0.5989526722790602,0.992636667116704,0.14119666741878575,-0.06650226197746036,0.3691243556653562,-0.05577409878642248,0.7050957321707017,0.7031297037185064
Mom,0.7532349933427654,5.648461348325846e-07,-0.15932177535947029,0.0066450124597005195,-0.47261039990814396,0.12746584440584222,0.2986446336577422,0.09431489298258044,0.088276992269131
