,Oil,Banks,Txtls,Toys,Rtail,Mkt-RF,RF,Mom
Oil,1.0,0.4981984548405032,0.4090018082634245,0.4040367305092004,0.3601565986988427,0.6065909617129432,-0.01623694621412927,-0.13156247764272805
Banks,0.4981984548405032,1.0,0.6385369687061233,0.5815582369339913,0.6758566213506613,0.7896576443891882,0.009993075478008068,-0.29463950620188983
Txtls,0.4090018082634245,0.6385369687061233,1.0,0.6281015623692023,0.6262497899860802,0.6777703683711405,-0.023780660870685956,-0.30651427819949284
Toys,0.4040367305092004,0.5815582369339913,0.6281015623692023,1.0,0.6598140392855483,0.7174861266430114,-0.022037376873084696,-0.20249947099302715
Rtail,0.3601565986988427,0.6758566213506613,0.6262497899860802,0.6598140392855483,1.0,0.8219212199699379,-0.01106385040986508,-0.18408216066466027
Mkt-RF,0.6065909617129432,0.7896576443891882,0.6777703683711405,0.7174861266430114,0.8219212199699379,1.0,-0.08161372270156947,-0.16244902092862765
RF,-0.01623694621412927,0.009993075478008068,-0.023780660870685956,-0.022037376873084696,-0.01106385040986508,-0.08161372270156947,1.0,0.06537151344627515
Mom,-0.13156247764272805,-0.29463950620188983,-0.30651427819949284,-0.20249947099302715,-0.18408216066466027,-0.16244902092862765,0.06537151344627515,1.0
