,N,Mean (%),Std. dev. (%),Min (%),25th pct. (%),Median (%),75th pct. (%),Max (%),Skewness,Excess kurtosis,Shapiro (P-value)
Oil,757,1.05,6.0907,-34.65,-2.31,0.96,4.34,32.84,0.129,3.691,0.0
Banks,757,0.98,6.053,-27.33,-2.3,1.05,4.77,24.98,-0.288,1.958,0.0
Txtls,757,0.93,7.6074,-36.02,-3.0,1.16,5.21,59.18,0.218,7.235,0.0
Toys,757,0.79,7.3223,-33.4,-3.81,1.02,5.51,27.7,-0.163,0.958,0.0016
Rtail,757,1.11,5.4031,-28.89,-2.06,0.88,4.37,27.14,-0.09,1.934,0.0
Mkt-RF,757,0.6,4.461,-23.19,-1.96,1.01,3.42,16.11,-0.49,1.731,0.0
RF,757,0.36,0.2603,0.0,0.15,0.38,0.49,1.35,0.672,0.838,0.0
Mom,757,0.6,4.2028,-34.36,-0.99,0.7,2.91,18.05,-1.297,9.554,0.0
