,Portfolio,Alpha (%/month),Alpha p-value,Beta,R²,Adj R²
0,Oil,0.18532379434039314,0.29658330628742124,0.8329583061823681,0.3710041878658371,0.3701710808298978
1,Banks,-0.03163188664355093,0.8153559844502998,1.0762242905404937,0.6284930123191625,0.6280009500838237
2,Txtls,-0.1254852231169516,0.5406027045963139,1.1605650659160767,0.4618738677513218,0.46116111790728376
3,Toys,-0.28553257139383875,0.12660826201009567,1.1824474350642329,0.5174936181048516,0.5168545368043282
4,Rtail,0.14418158651372384,0.19957059672914346,1.0002525110430127,0.6797315491361662,0.6793073525125055
5,Mom,0.6962509840691731,4.758797022144983e-06,-0.15304672605900368,0.026389684400669577,0.025100134313782996
