,Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
70,1926-1962,Oil,Mar,0.0397,0.0547,0.0149,0.3569,0.7211
71,1926-1962,Banks,Mar,0.063,0.0183,-0.0447,-0.8556,0.3922
72,1926-1962,Txtls,Mar,0.0419,-0.0732,-0.1151,-2.5962,0.0094
73,1926-1962,Toys,Mar,0.0575,0.0937,0.0362,0.3853,0.7
74,1926-1962,Rtail,Mar,0.0422,-0.0013,-0.0435,-1.1281,0.2593
75,1926-1962,Oil,Apr,0.0359,0.0979,0.062,1.3181,0.1875
76,1926-1962,Banks,Apr,0.061,0.0386,-0.0224,-0.4297,0.6674
77,1926-1962,Txtls,Apr,0.0361,-0.0138,-0.0499,-1.0676,0.2857
78,1926-1962,Toys,Apr,0.0633,0.0314,-0.0318,-0.3719,0.71
79,1926-1962,Rtail,Apr,0.0381,0.0412,0.0031,0.0807,0.9356
80,1926-1962,Oil,May,0.0456,-0.0089,-0.0545,-1.2166,0.2238
81,1926-1962,Banks,May,0.0626,0.0219,-0.0406,-0.708,0.4789
82,1926-1962,Txtls,May,0.0338,0.012,-0.0217,-0.457,0.6477
83,1926-1962,Toys,May,0.0623,0.043,-0.0193,-0.1648,0.8691
84,1926-1962,Rtail,May,0.0408,0.0126,-0.0282,-0.7002,0.4838
85,1926-1962,Oil,Jun,0.0385,0.0697,0.0312,0.6463,0.5181
86,1926-1962,Banks,Jun,0.0574,0.0787,0.0213,0.3565,0.7215
87,1926-1962,Txtls,Jun,0.0267,0.0903,0.0636,1.2862,0.1984
88,1926-1962,Toys,Jun,0.0669,-0.0088,-0.0757,-0.7864,0.4316
89,1926-1962,Rtail,Jun,0.0341,0.0854,0.0513,1.1865,0.2354
90,1926-1962,Oil,Jul,0.0339,0.1194,0.0855,1.9388,0.0525
91,1926-1962,Banks,Jul,0.0559,0.0944,0.0385,0.6911,0.4895
92,1926-1962,Txtls,Jul,0.0231,0.1287,0.1056,2.0557,0.0398
93,1926-1962,Toys,Jul,0.0602,0.0653,0.0051,0.0562,0.9551
94,1926-1962,Rtail,Jul,0.0314,0.1154,0.0841,2.2395,0.0251
95,1926-1962,Oil,Aug,0.0411,0.0402,-0.0009,-0.0238,0.981
